"Company","St","SamAccountName","Name","Mail","Department","Title","PasswordNeverExpires","Enabled","Created","Modified","Info"
,"SP","juan.cunha","Juan Cunha","juan.cunha@tfteccompany.com.br","Help Desk","Analista de Help Desk","False","True","2/21/2022 6:21:48 PM","2/21/2022 6:40:32 PM",
,"SP","caue.dias","Caue Dias","caue.dias@tfteccompany.com.br","Seguranca","Analista de Seguranca","False","True","2/21/2022 6:21:48 PM","2/21/2022 6:21:48 PM",
,"SP","natalia.nunes","Natalia Nunes","natalia.nunes@tfteccompany.com.br","Seguranca","Analista de Seguranca","False","True","2/21/2022 6:21:48 PM","2/21/2022 6:21:48 PM",
,"SP","joana.almeida","Joana Almeida","joana.almeida@tfteccompany.com.br","Help Desk","Analista de Help Desk","False","True","2/21/2022 6:21:48 PM","2/21/2022 6:46:15 PM",
,"SC","maria.costa","Maria Costa","maria.costa@tfteccompany.com.br","Marketing","Analista de Marketing","False","True","2/14/2022 2:08:43 PM","2/21/2022 6:35:30 PM",
,"SP","erick.lopes","Erick Lopes","erick.lopes@tfteccompany.com.br","Governanca","Analista de Governanca","False","True","2/21/2022 6:21:48 PM","2/21/2022 6:49:38 PM",
,"SP","lucas.duarte","Lucas Duarte","lucas.duarte@tfteccompany.com.br","Governanca","Analista de Governanca","False","True","2/21/2022 6:21:48 PM","2/21/2022 6:47:31 PM",
,"SP","felipe.martins","Felipe Martins","felipe.martins@tfteccompany.com.br","Vendas","Analista de Vendas","False","True","2/14/2022 2:13:57 PM","2/21/2022 6:31:36 PM",
,"SP","matheus.campos","Matheus Campos","matheus.campos@tfteccompany.com.br","Vendas","Analista de Vendas","False","True","2/14/2022 2:14:49 PM","2/14/2022 2:18:41 PM",
,"SP","aline.mendes","Aline Mender","aline.mendes@tfteccompany.com.br","Vendas","Gerente de Vendas","False","True","2/14/2022 2:13:57 PM","2/14/2022 2:18:31 PM",
,"SP","marcos.soares","Marcos Soares","marcos.soares@tfteccompany.com.br","TI","Analista de Infra","False","True","2/14/2022 2:05:43 PM","2/21/2022 6:10:55 PM",
,"SP","milena.fernandes","Milena Fernandes","milena.fernandes@tfteccompany.com.br","Sistemas","Desenvolvedora","False","True","2/21/2022 6:21:48 PM","2/21/2022 6:21:48 PM",
,"SP","luis.silva","Luis Silva","luis.silva@tfteccompany.com.br","TI","Gerente de TI","False","True","2/14/2022 2:05:42 PM","2/14/2022 6:22:01 PM",
,"SP","bruno.moraes","Bruno Moraes","bruno.moraes@tfteccompany.com.br","TI","Desenvolvedor","False","True","2/14/2022 2:05:43 PM","2/21/2022 6:11:21 PM",
,,"Guest","Guest",,,,"True","False","2/13/2022 7:32:02 PM","2/13/2022 7:32:02 PM",
,"DF","mariana.moura","Mariana Moura","mariana.moura@tfteccompany.com.br","Vendas","Analista de Vendas","False","True","2/14/2022 2:08:44 PM","2/14/2022 2:17:35 PM",
,"MG","sabrina.passos","Sabrina Passos","sabrina.passos@tfteccompany.com.br","Vendas","Gerente de Vendas","False","True","2/14/2022 2:08:44 PM","2/21/2022 6:37:20 PM",
,,"azadmin","azadmin",,,,"True","True","2/13/2022 7:32:02 PM","8/26/2022 5:13:41 AM",
,,"svc.appcursos","svc.appcursos",,,,"True","True","2/16/2022 1:12:42 PM","2/17/2022 6:21:04 PM",
,,"svc.glpi","svc.glpi",,,,"True","True","2/14/2022 5:47:40 PM","2/14/2022 5:51:33 PM",
,,"krbtgt","krbtgt",,,,"False","False","2/13/2022 7:32:37 PM","2/13/2022 7:47:49 PM",
,"RS","tiago.martins","Tiago Martins","tiago.martins@tfteccompany.com.br","Contabilidade","Anailista de Contabilidade","False","True","2/14/2022 2:08:43 PM","2/14/2022 2:18:00 PM",
,"RS","pedro.nogueira","Pedro Nogueira","pedro.nogueira@tfteccompany.com.br","Contabilidade","Gerente de Contabilidade","False","True","2/14/2022 2:07:26 PM","2/14/2022 2:17:55 PM",
,"RS","lucia.rosa","Lucia Rosa","lucia.rosa@tfteccompany.com.br","Contabilidade","Assistente de Contabilidade","False","True","2/14/2022 2:08:43 PM","2/21/2022 6:32:56 PM",
,"RJ","mauro.almeida","Mauro Almeida","mauro.almeida@tfteccompany.com.br","Financeiro","Assistente Financeiro","False","True","2/14/2022 2:07:26 PM","2/14/2022 2:17:14 PM",
,"PR","gabriela.porto","Gabriela Porto","gabriela.porto@tfteccompany.com.br","Marketing","Gerente de Marketing","False","True","2/14/2022 2:08:43 PM","2/14/2022 2:17:24 PM",
,"RJ","guilherme.silveira","Guilherme Silveira","guilherme.silveira@tfteccompany.com.br","Financeiro","Gerente Financeiro","False","True","2/14/2022 2:07:26 PM","2/14/2022 2:17:07 PM",
,"RJ","daniel.moreira","Daniel Moreira","daniel.moreira@tfteccompany.com.br","Financeiro","Analista Financeiro","False","True","2/14/2022 2:07:26 PM","2/14/2022 2:17:01 PM",
